Set,Price_Euro,Pieces,Minifigs
Bastion,58.48,602,NaN
Watchpoint: Gibraltar,87.72,730,4
Wrecking Ball,19.49,227,1
Junkrat & Roadhog,48.73,380,2
Spider-Man Bike Rescue,24.36,235,3
Spider-Man's Spider Crawler,38.98,418,4
Spider Mech vs. Venom,48.73,604,4
Batman Batsub and the Underwater Clash,24.99,174,3
Batman Mech vs. Poison Ivy Mech ,39.99,375,4
Mr. Freeze Batcycle Battle,24.36,200,3
Batmobile: Pursuit of The Joker,29.23,342,2
Batwing and The Riddler Heist,48.73,489,4
Batcave Clayface Invasion,97.47,1038,6
Captain America: Outriders Attack,24.36,167,4
War Machine Buster,34.11,362,4
Iron Man Hall of Armor,59.99,524,6
Avengers Ultimate Quinjet,77.97,838,6
Captain Marvel and The Skrull Attack,29.23,307,3
Molten Man Battle,29.23,294,3
Hydro-Man Attack,39.99,471,4
Stark Jet and the Drone Attack,58.48,504,4
Avengers Compound Battle,97.47,699,7
Spider-Man Car Chase,9.99,52,2
Spider-Man: Doc Ock Diamond Heist,29.99,150,3
Batman vs. The Riddler Robbery,9.74,59,2
Batman and The Joker Escape,38.98,171,4
1989 Batmobile,249.99,3306,3
Avengers Hulk Helicopter Rescue,58.48,482,5
Sith Trooper Bust,NaN,484,NaN
Captain Marvel and the Asis,NaN,271,2
The Dark Knight of Gotham City,NaN,427,1
Chinese New Year's Eve Dinner,NaN,615,6
Dragon Dance,NaN,622,5
Dragon Boat Race,49.99,643,15
Koi,NaN,293,NaN
Shark Skin,NaN,31,NaN
Splash Koi Skin,NaN,33,NaN
Ink Koi Skin,NaN,33,NaN
Boost Hub,79.99,1,NaN
Colour & Distance Sensor,13.99,1,NaN
Medium Linear Motor,16.99,1,NaN
Train Motor,13.99,7,NaN
Garmadon,NaN,10,1
Garmadon,NaN,10,1
Wu,NaN,1,1
Wu,NaN,1,1
Kai vs. Wyplash,NaN,13,2
Kai vs. Wyplash,NaN,13,2
Jay Vs. Lasha,NaN,12,2
Jay vs. Lasha,NaN,12,2
Baby Raptor,NaN,33,NaN
Owen with Baby Raptor,NaN,7,1
Batman with Batarang,NaN,7,1
Robin,NaN,7,1
Superman,NaN,8,1
The Flash,NaN,6,1
Joker,NaN,9,1
Batman,NaN,6,1
Show Jump,NaN,34,NaN
Emmet with Tools,NaN,9,1
Rex with Jetpack,NaN,NaN,1
Emma's Kitty Chico,NaN,22,NaN
Shop with Costumes,NaN,30,NaN
Sweet Baby,NaN,15,1
Bear's Cave,NaN,22,NaN
Andrea's Booth with Waffles,NaN,29,NaN
Robot on paddleboard,NaN,18,1
Ice Cream Parlour,NaN,38,NaN
Andrea's Stage,NaN,21,NaN
Stephanie's Puppy Dash,NaN,20,NaN
Halloween Store,NaN,15,NaN
Olivia's Bakery,NaN,38,NaN
Jack,NaN,8,1
Possessed Pizza Delivery Man,NaN,6,1
Parker,NaN,6,1
TLM2 Accessory Set 2019,12.99,48,4
Oni Battle Pack,12.99,36,3
Emmet Key Chain,4.86,NaN,NaN
Lucy Key Chain,4.99,NaN,NaN
Emmet's Construction Worker Vest,14.99,NaN,NaN
Batarang,7.79,NaN,NaN
Flail,NaN,NaN,NaN
Emmet Mask,9.99,NaN,NaN
Lucy Hair,4.99,NaN,NaN
Emmet Pod,8.99,27,1
Sweet Mayhem's Disco Pod,8.76,28,1
TLM2 Tumbler with Straw,7.99,NaN,NaN
TLM2 Hydration Bottle,12.99,NaN,NaN
TLM2 Notebook,12.99,NaN,NaN
Emmet Plush,24.99,NaN,NaN
Lucy Plush,24.36,NaN,NaN
Friends Creative Bag Charms,5.99,NaN,NaN
Stephanie Key Chain,4.99,NaN,NaN
Olivia Key Chain,4.99,NaN,NaN
Friends Phone Cover,24.99,NaN,NaN
Friends Tumbler with Straw,7.79,NaN,NaN
